"rh","12","16","20-1","20-2","20-3","24","28","32","4","8"
0,61.635,60.424,59.299,59.326,59.371,58.172,56.664,55.112,63.541,62.613
10,60.928,59.647,58.243,58.211,58.364,56.815,55.04,53.154,63.081,62.084
20,59.64,58.038,56.353,56.307,56.481,54.692,52.61,50.469,62.181,60.955
30,57.425,55.517,53.622,53.548,53.731,51.829,49.361,47.142,60.483,59.088
40,54.201,52.059,49.878,49.815,50.087,47.949,45.323,43.034,57.918,56.182
50,49.954,47.733,45.419,45.379,45.744,43.314,40.726,38.624,54.295,52.273
60,45.046,42.763,40.38,40.304,40.752,38.504,36.162,34.479,49.691,47.485
70,39.942,37.842,35.7,35.699,36.12,34.364,32.52,31.421,44.64,42.365
80,35.957,34.349,32.804,32.91,33.319,32.045,30.791,29.659,40.012,38.015
90,34.509,33.405,32.234,32.371,32.748,31.712,30.547,29.412,37.656,36.053
95,61.635,60.579,59.719,59.714,59.674,58.705,57.493,56.238,62.359,62.267
