"RH...","vaisalaTemperature","Ph1"
60.28,3.58,62.359
27.99,3.77,62.181
17.38,3.78,63.081
38.08,3.78,60.483
5.42,3.8,63.541
47.82,3.8,57.918
56.67,3.83,54.295
86.9,3.84,37.656
65.31,3.85,49.691
72.82,3.86,44.64
80.79,3.86,40.012
53.9,7.59,62.267
28.86,7.77,60.955
6.12,7.78,62.613
18.28,7.78,62.084
38.86,7.78,59.088
48.54,7.79,56.182
57.38,7.8,52.273
65.93,7.83,47.485
73.68,7.85,42.365
81.8,7.87,38.015
87.67,7.88,36.053
43.57,11.6,61.635
7.18,11.9,61.635
29.81,11.9,59.64
19.24,11.91,60.928
39.83,11.91,57.425
49.43,11.94,54.201
58.4,11.94,49.954
66.63,11.94,45.046
74.56,11.95,39.942
82.87,11.96,35.957
88.3,11.96,34.509
38.36,15.81,60.579
7.83,16.12,60.424
19.8,16.13,59.647
30.18,16.14,58.038
40.14,16.16,55.517
49.67,16.17,52.059
58.69,16.17,47.733
67.09,16.2,42.763
74.92,16.23,37.842
83.35,16.24,34.349
88.47,16.25,33.405
37.89,19.44,59.674
27.83,19.6,59.719
19.72,19.77,58.364
30.28,19.77,56.481
7.4,19.78,59.371
40.24,19.8,53.731
49.87,19.83,50.087
58.67,19.83,45.744
67.17,19.83,40.752
32.53,19.84,59.714
75.07,19.84,36.12
83.65,19.84,33.319
88.58,19.87,32.748
40.62,20.08,53.622
50.29,20.08,49.878
59.38,20.08,45.419
9.11,20.09,59.299
20.56,20.09,58.243
30.84,20.09,56.353
67.69,20.11,40.38
75.75,20.13,35.7
88.75,20.13,32.234
84.17,20.14,32.804
8.49,20.25,59.326
40.47,20.25,53.548
50.16,20.25,49.815
20.25,20.26,58.211
30.62,20.26,56.307
59.12,20.27,45.379
67.53,20.28,40.304
75.44,20.32,35.699
88.8,20.32,32.371
83.84,20.33,32.91
30.05,23.31,58.705
20.49,23.78,56.815
30.79,23.78,54.692
40.68,23.78,51.829
50.37,23.78,47.949
8.68,23.79,58.172
59.37,23.81,43.314
88.75,23.82,31.712
67.72,23.83,38.504
75.64,23.84,34.364
84.11,23.85,32.045
22.16,27.52,57.493
41.17,28.06,49.361
9.78,28.07,56.664
21.05,28.07,55.04
31.27,28.07,52.61
50.71,28.09,45.323
59.76,28.1,40.726
68.17,28.12,36.162
76.29,28.13,32.52
88.98,28.14,30.547
84.75,28.15,30.791
18.45,31.34,56.238
10.19,31.87,55.112
31.62,31.87,50.469
21.39,31.88,53.154
41.47,31.9,47.142
50.9,31.92,43.034
60,31.94,38.624
68.33,31.96,34.479
88.93,31.97,29.412
76.48,31.99,31.421
84.76,32.01,29.659
