"RH...","vaisalaTemperature","Ph1"
60.28,3.58,1
27.99,3.77,1
17.38,3.78,1
38.08,3.78,1
5.42,3.8,1
47.82,3.8,1
56.67,3.83,1
86.9,3.84,1
65.31,3.85,1
72.82,3.86,1
80.79,3.86,1
53.9,7.59,1
28.86,7.77,1
6.12,7.78,1
18.28,7.78,1
38.86,7.78,1
48.54,7.79,1
57.38,7.8,1
65.93,7.83,1
73.68,7.85,1
81.8,7.87,1
87.67,7.88,1
43.57,11.6,1
7.18,11.9,1
29.81,11.9,1
19.24,11.91,1
39.83,11.91,1
49.43,11.94,1
58.4,11.94,1
66.63,11.94,1
74.56,11.95,1
82.87,11.96,1
88.3,11.96,1
38.36,15.81,1
7.83,16.12,1
19.8,16.13,1
30.18,16.14,1
40.14,16.16,1
49.67,16.17,1
58.69,16.17,1
67.09,16.2,1
74.92,16.23,1
83.35,16.24,1
88.47,16.25,1
37.89,19.44,1
27.83,19.6,1
19.72,19.77,1
30.28,19.77,1
7.4,19.78,1
40.24,19.8,1
49.87,19.83,1
58.67,19.83,1
67.17,19.83,1
32.53,19.84,1
75.07,19.84,1
83.65,19.84,1
88.58,19.87,1
40.62,20.08,1
50.29,20.08,1
59.38,20.08,1
9.11,20.09,1
20.56,20.09,1
30.84,20.09,1
67.69,20.11,1
75.75,20.13,1
88.75,20.13,1
84.17,20.14,1
8.49,20.25,1
40.47,20.25,1
50.16,20.25,1
20.25,20.26,1
30.62,20.26,1
59.12,20.27,1
67.53,20.28,1
75.44,20.32,1
88.8,20.32,1
83.84,20.33,1
30.05,23.31,1
20.49,23.78,1
30.79,23.78,1
40.68,23.78,1
50.37,23.78,1
8.68,23.79,1
59.37,23.81,1
88.75,23.82,1
67.72,23.83,1
75.64,23.84,1
84.11,23.85,1
22.16,27.52,1
41.17,28.06,1
9.78,28.07,1
21.05,28.07,1
31.27,28.07,1
50.71,28.09,1
59.76,28.1,1
68.17,28.12,1
76.29,28.13,1
88.98,28.14,1
84.75,28.15,1
18.45,31.34,1
10.19,31.87,1
31.62,31.87,1
21.39,31.88,1
41.47,31.9,1
50.9,31.92,1
60,31.94,1
68.33,31.96,1
88.93,31.97,1
76.48,31.99,1
84.76,32.01,1
