vaisalaTimeHours	elapsedTimeSec	"RH, %"	"T, ?C"	"pw, psi"
0.198611	715.000000	51.3	25.3	0.24
0.200000	720.000000	51.3	25.29	0.24
0.201389	725.000000	51.3	25.3	0.24
0.202778	730.000000	51.3	25.3	0.24
0.204167	735.000000	51.3	25.29	0.24
0.205556	740.000000	51.3	25.3	0.24
0.206944	745.000000	51.31	25.3	0.24
0.208333	750.000000	51.32	25.29	0.24
0.209722	755.000000	51.33	25.29	0.24
0.211111	760.000000	51.32	25.29	0.24
0.212500	765.000000	51.32	25.29	0.24
0.213889	770.000000	51.32	25.3	0.24
0.215278	775.000000	51.34	25.3	0.24
0.216667	780.000000	51.35	25.3	0.24
0.218056	785.000000	51.35	25.29	0.24
0.219444	790.000000	51.36	25.29	0.24
0.220833	795.000000	51.36	25.29	0.24
0.222222	800.000000	51.36	25.29	0.24
0.223611	805.000000	51.36	25.29	0.24
0.225000	810.000000	51.37	25.29	0.24
0.226389	815.000000	51.37	25.29	0.24
0.227778	820.000000	51.38	25.29	0.24
0.229167	825.000000	51.37	25.29	0.24
0.230556	830.000000	51.37	25.29	0.24
0.231944	835.000000	51.37	25.3	0.24
0.233333	840.000000	51.36	25.29	0.24
0.234722	845.000000	51.37	25.29	0.24
0.236111	850.000000	51.37	25.3	0.24
0.237500	855.000000	51.38	25.29	0.24
0.238889	860.000000	51.38	25.29	0.24
0.240278	865.000000	51.37	25.29	0.24
0.241667	870.000000	51.37	25.29	0.24
0.243056	875.000000	51.35	25.29	0.24
0.244444	880.000000	51.34	25.29	0.24
0.245833	885.000000	51.36	25.3	0.24
0.247222	890.000000	51.37	25.3	0.24
0.248611	895.000001	51.37	25.3	0.24
0.250000	900.000000	51.37	25.3	0.24
0.251389	905.000000	51.36	25.29	0.24
0.252778	910.000000	51.36	25.29	0.24
0.254167	915.000000	51.36	25.3	0.24
0.255556	920.000000	51.35	25.3	0.24
0.256944	925.000000	51.35	25.3	0.24
0.258333	930.000001	51.34	25.3	0.24
0.259722	935.000000	51.33	25.3	0.24
0.261111	940.000000	51.32	25.3	0.24
0.262500	945.000000	51.32	25.3	0.24
0.263889	950.000000	51.32	25.3	0.24
0.265278	955.000000	51.31	25.3	0.24
0.266667	960.000000	51.31	25.29	0.24
0.268056	965.000000	51.31	25.3	0.24
0.269444	970.000000	51.31	25.29	0.24
0.270833	975.000000	51.31	25.29	0.24
0.272222	980.000000	51.3	25.3	0.24
0.273611	985.000000	51.28	25.3	0.24
0.275000	990.000000	51.28	25.3	0.24
0.276389	995.000000	51.29	25.3	0.24
0.277778	1000.000000	51.29	25.3	0.24
0.279167	1005.000000	51.28	25.3	0.24
0.280556	1010.000000	51.26	25.3	0.24
0.281944	1015.000000	51.25	25.3	0.24
0.283333	1020.000000	51.24	25.3	0.24
0.284722	1025.000000	51.24	25.3	0.24
0.286111	1030.000000	51.24	25.3	0.24
0.287500	1035.000000	51.25	25.3	0.24
0.288889	1040.000000	51.26	25.3	0.24
0.290278	1045.000000	51.27	25.29	0.24
0.291667	1050.000000	51.27	25.3	0.24
0.293056	1055.000000	51.27	25.29	0.24
0.294444	1060.000000	51.26	25.29	0.24
0.295833	1065.000000	51.25	25.3	0.24
0.297222	1070.000000	51.25	25.29	0.24
0.298611	1075.000000	51.24	25.29	0.24
0.300000	1080.000000	51.24	25.29	0.24
0.301389	1085.000000	51.24	25.3	0.24
0.302778	1090.000000	51.23	25.3	0.24
0.304167	1095.000000	51.22	25.3	0.24
0.305556	1100.000000	51.21	25.3	0.24
0.306944	1105.000000	51.19	25.3	0.239
0.308333	1110.000000	51.18	25.29	0.239
0.309722	1115.000000	51.18	25.29	0.239
0.311111	1120.000000	51.17	25.29	0.239
0.312500	1125.000000	51.17	25.29	0.239
0.313889	1130.000000	51.16	25.29	0.239
0.315278	1135.000000	51.15	25.29	0.239
0.316667	1140.000000	51.15	25.29	0.239
0.318056	1145.000000	51.17	25.29	0.239
0.319444	1150.000000	51.19	25.3	0.239
0.320833	1155.000000	51.2	25.29	0.239
0.322222	1160.000000	51.21	25.29	0.239
0.323611	1165.000000	51.2	25.29	0.239
0.325000	1170.000000	51.18	25.3	0.239
0.326389	1175.000000	51.18	25.3	0.239
0.327778	1180.000000	51.16	25.29	0.239
0.329167	1185.000000	51.19	25.29	0.239
0.330556	1190.000000	51.23	25.29	0.24
0.331944	1195.000000	51.25	25.29	0.24
0.333333	1200.000000	51.25	25.29	0.24
