time(s)	MFC1	MFC2	MFC3	MFC4	MFC5	MFC6	Valve 1	Valve 2	Total Flow (cc)	Gas	Concentration of Gas (%)	Time(s)	RH (%)	Temperature (C )	Include								MFC1 cc/min	MFC2	MFC3	MFC4	MFC5	MFC6	MFC7	total flow	% moist	% dry
300	0.900	0.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	90	4	0																	
300	0.950	0.100	0.000	0.000	0.00	0	0	0	200	NA	0	300	95	4	0																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	4	1																	
300	0.100	1.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	10	4	1																	
300	0.200	1.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	20	4	1																	
300	0.300	1.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	30	4	1																	
300	0.400	1.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	40	4	1																	
300	0.500	1.000	0.000	0.000	0.00	0	0	0	200	NA	0	300	50	4	1																	
300	0.600	0.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	60	4	1																	
300	0.700	0.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	70	4	1																	
300	0.800	0.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	80	4	1																	
300	0.900	0.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	90	4	1																	
300	0.950	0.100	0.000	0.000	0.00	0	0	0	200	NA	0	300	95	4	1																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	4	0	13800	230															
4800	0.250	1.500	0.000	0.000	0.00	0	0	0	200	NA	0	4800	25	8	0																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	8	0																	
300	0.100	1.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	10	8	0																	
300	0.200	1.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	20	8	0																	
300	0.300	1.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	30	8	0																	
300	0.400	1.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	40	8	0																	
300	0.500	1.000	0.000	0.000	0.00	0	0	0	200	NA	0	300	50	8	0																	
300	0.600	0.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	60	8	0																	
300	0.700	0.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	70	8	0																	
300	0.800	0.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	80	8	0																	
300	0.900	0.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	90	8	0																	
300	0.950	0.100	0.000	0.000	0.00	0	0	0	200	NA	0	300	95	8	0																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	8	1																	
300	0.100	1.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	10	8	1																	
300	0.200	1.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	20	8	1																	
300	0.300	1.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	30	8	1																	
300	0.400	1.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	40	8	1																	
300	0.500	1.000	0.000	0.000	0.00	0	0	0	200	NA	0	300	50	8	1																	
300	0.600	0.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	60	8	1																	
300	0.700	0.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	70	8	1																	
300	0.800	0.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	80	8	1																	
300	0.900	0.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	90	8	1																	
300	0.950	0.100	0.000	0.000	0.00	0	0	0	200	NA	0	300	95	8	1																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	8	0	12600	210															
6000	0.250	1.500	0.000	0.000	0.00	0	0	0	200	NA	0	6000	25	16	0																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	16	0																	
300	0.100	1.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	10	16	0																	
300	0.200	1.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	20	16	0																	
300	0.300	1.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	30	16	0																	
300	0.400	1.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	40	16	0																	
300	0.500	1.000	0.000	0.000	0.00	0	0	0	200	NA	0	300	50	16	0																	
300	0.600	0.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	60	16	0																	
300	0.700	0.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	70	16	0																	
300	0.800	0.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	80	16	0																	
300	0.900	0.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	90	16	0																	
300	0.950	0.100	0.000	0.000	0.00	0	0	0	200	NA	0	300	95	16	0																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	16	1																	
300	0.100	1.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	10	16	1																	
300	0.200	1.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	20	16	1																	
300	0.300	1.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	30	16	1																	
