"","Ph1","AnalogB","Include","Temperature..C..","rh","Concentration.of.Gas....","RH...","vaisalaTemperature","pw..psi"
"20483",38.595,33.138,1,"32",60,0,60.74,31.92,0.417
"20543",34.374,33.039,1,"32",70,0,69.51,31.93,0.478
"20603",31.354,33.063,1,"32",80,0,78.18,31.95,0.538
"20663",29.732,32.84,1,"32",90,0,86.67,31.97,0.597
"20723",29.681,32.92,1,"32",95,0,90.64,31.99,0.625
"22881",59.09,24.472,1,"24",0,0,0.82,23.76,0.003
"22941",58.387,24.633,1,"24",10,0,11.58,23.77,0.049
"23001",56.954,24.912,1,"24",20,0,21.85,23.77,0.093
"23061",54.732,24.492,1,"24",30,0,31.93,23.78,0.136
"23121",51.783,24.317,1,"24",40,0,41.75,23.77,0.178
"23181",47.899,24.692,1,"24",50,0,51.48,23.78,0.22
"23241",43.191,24.929,1,"24",60,0,60.76,23.8,0.26
"23301",38.339,24.529,1,"24",70,0,69.43,23.8,0.297
"23361",34.141,24.791,1,"24",80,0,78.18,23.81,0.335
"23421",31.917,24.967,1,"24",90,0,86.87,23.83,0.372
"23481",31.642,24.679,1,"24",95,0,90.9,23.83,0.39
"25400",60.041,20.648,1,"20-3",0,0,0.95,19.76,0.003
"25460",59.619,20.501,1,"20-3",10,0,11.58,19.77,0.039
"25520",58.415,20.806,1,"20-3",20,0,21.85,19.76,0.073
"25580",56.477,20.618,1,"20-3",30,0,31.93,19.78,0.107
"25639",53.678,20.708,1,"20-3",40,0,41.73,19.81,0.14
"25699",49.967,20.872,1,"20-3",50,0,51.24,19.82,0.172
"25759",45.563,20.848,1,"20-3",60,0,60.6,19.8,0.203
"25819",40.46,20.61,1,"20-3",70,0,69.4,19.81,0.233
"25879",35.709,20.647,1,"20-3",80,0,78.1,19.82,0.262
"25939",33.007,20.734,1,"20-3",90,0,86.95,19.86,0.292
"25999",32.618,20.973,1,"20-3",95,0,90.89,19.88,0.306
