"","Ph1","AnalogB","Include","Temperature..C..","rh","Concentration.of.Gas....","RH...","vaisalaTemperature","pw..psi"
"1536",60.004,20.744,1,"20-1",0,0,0.89,20.06,0.003
"1596",59.499,20.861,1,"20-1",10,0,11.56,20.08,0.039
"1656",58.335,20.901,1,"20-1",20,0,21.71,20.08,0.074
"1716",56.389,20.87,1,"20-1",30,0,31.73,20.08,0.108
"1776",53.555,20.934,1,"20-1",40,0,41.55,20.07,0.142
"1836",49.772,20.94,1,"20-1",50,0,51.28,20.07,0.175
"1896",45.24,21.351,1,"20-1",60,0,60.64,20.07,0.207
"1956",40.028,21.215,1,"20-1",70,0,69.37,20.08,0.236
"2016",35.325,20.732,1,"20-1",80,0,78.05,20.1,0.266
"2076",32.551,21.102,1,"20-1",90,0,86.76,20.13,0.297
"2136",32.086,21.084,1,"20-1",95,0,90.81,20.13,0.31
"4295",62.089,12.688,1,"12",0,0,1.43,11.89,0.003
"4355",61.85,12.641,1,"12",10,0,11.63,11.9,0.024
"4415",61.027,12.642,1,"12",20,0,21.73,11.89,0.044
"4475",59.585,12.749,1,"12",30,0,31.81,11.9,0.064
"4535",57.236,12.839,1,"12",40,0,41.7,11.92,0.084
"4595",53.891,12.971,1,"12",50,0,51.35,11.92,0.104
"4655",49.582,12.729,1,"12",60,0,60.54,11.93,0.123
"4715",44.359,12.651,1,"12",70,0,69.28,11.92,0.14
"4775",39.03,12.882,1,"12",80,0,77.81,11.94,0.158
"4835",35.009,12.875,1,"12",90,0,86.52,11.95,0.175
"4895",34.091,12.877,1,"12",95,0,90.65,11.98,0.184
"7054",63.812,5.027,1,"4",0,0,2.45,3.79,0.003
"7114",63.681,4.652,1,"4",10,0,11.73,3.78,0.014
"7174",63.1,4.729,1,"4",20,0,21.77,3.77,0.025
"7234",62.035,4.6,1,"4",30,0,31.77,3.78,0.037
"7294",60.142,4.975,1,"4",40,0,41.6,3.79,0.048
"7354",57.337,4.703,1,"4",50,0,51.22,3.81,0.06
"7414",53.401,4.754,1,"4",60,0,60.54,3.83,0.071
"7474",48.441,4.824,1,"4",70,0,68.96,3.86,0.081
"7534",42.864,4.899,1,"4",80,0,76.94,3.85,0.09
"7594",38.235,4.686,1,"4",90,0,85.27,3.85,0.1
"7654",36.789,4.385,1,"4",95,0,89.39,3.83,0.104
"9571",63.01,8.574,1,"8",0,0,1.97,7.77,0.003
"9631",62.81,8.575,1,"8",10,0,11.79,7.78,0.018
"9691",62.156,8.411,1,"8",20,0,21.82,7.77,0.033
"9751",60.833,8.337,1,"8",30,0,31.92,7.77,0.049
"9811",58.812,8.4,1,"8",40,0,41.64,7.78,0.064
"9871",55.739,8.348,1,"8",50,0,51.33,7.79,0.079
"9931",51.612,8.618,1,"8",60,0,60.69,7.81,0.093
"9991",46.536,8.842,1,"8",70,0,69.21,7.83,0.106
"10051",40.997,9.029,1,"8",80,0,77.43,7.86,0.119
"10111",36.624,8.224,1,"8",90,0,86.05,7.88,0.133
"10171",35.437,9.069,1,"8",95,0,90.09,7.88,0.139
"12326",61.057,17.176,1,"16",0,0,1.23,16.09,0.003
"12386",60.639,17.438,1,"16",10,0,11.67,16.12,0.031
"12446",59.726,17.05,1,"16",20,0,21.83,16.13,0.058
"12506",57.995,17.141,1,"16",30,0,31.87,16.15,0.085
"12566",55.429,17.214,1,"16",40,0,41.6,16.16,0.111
"12626",51.893,16.751,1,"16",50,0,51.3,16.16,0.137
"12686",47.437,17.2,1,"16",60,0,60.6,16.17,0.162
"12746",42.264,17.043,1,"16",70,0,69.32,16.19,0.185
"12806",37.119,17.432,1,"16",80,0,77.97,16.21,0.208
"12866",33.834,17.092,1,"16",90,0,86.65,16.24,0.232
"12926",33.147,17.423,1,"16",95,0,90.72,16.25,0.243
"14846",60.042,21.314,1,"20-2",0,0,0.96,20.22,0.003
"14906",59.492,21.046,1,"20-2",10,0,11.57,20.26,0.04
"14966",58.301,21.24,1,"20-2",20,0,21.82,20.25,0.075
"15026",56.349,20.906,1,"20-2",30,0,31.85,20.25,0.11
"15086",53.522,21.229,1,"20-2",40,0,41.64,20.25,0.143
"15145",49.719,21.207,1,"20-2",50,0,51.35,20.25,0.177
"15205",45.163,21.054,1,"20-2",60,0,60.57,20.26,0.209
"15265",40.017,21.572,1,"20-2",70,0,69.49,20.27,0.24
"15325",35.369,21.029,1,"20-2",80,0,78.08,20.3,0.27
"15385",32.671,21.569,1,"20-2",90,0,86.81,20.31,0.3
"15445",32.282,21.336,1,"20-2",95,0,90.95,20.34,0.315
"17605",57.944,29.247,1,"28",0,0,0.69,28.05,0.004
"17664",56.873,29.346,1,"28",10,0,11.64,28.06,0.064
"17724",55.11,28.848,1,"28",20,0,21.9,28.06,0.121
"17784",52.672,28.87,1,"28",30,0,32,28.05,0.176
"17844",49.405,28.947,1,"28",40,0,41.84,28.07,0.23
"17904",45.278,29.079,1,"28",50,0,51.5,28.08,0.284
"17964",40.695,29.292,1,"28",60,0,60.7,28.08,0.334
"18024",36.027,29.056,1,"28",70,0,69.44,28.08,0.383
"18084",32.372,28.653,1,"28",80,0,78.32,28.1,0.432
"18144",30.726,29.126,1,"28",90,0,86.89,28.13,0.48
"18204",30.519,29.008,1,"28",95,0,90.86,28.13,0.502
"20123",56.73,32.948,1,"32",0,0,0.6,31.84,0.004
"20183",55.26,33.04,1,"32",10,0,11.82,31.87,0.081
"20243",53.312,33.124,1,"32",20,0,22.1,31.87,0.151
"20303",50.512,33.341,1,"32",30,0,32.28,31.88,0.221
"20363",47.16,33.142,1,"32",40,0,41.94,31.9,0.288
"20423",42.998,32.969,1,"32",50,0,51.56,31.91,0.354
