"","Ph1","AnalogB","Include","Temperature..C..","rh","Concentration.of.Gas....","RH...","vaisalaTemperature","pw..psi"
"1530",60.021,20.738,1,"20-1",0,0,0.97,20.06,0.003
"1590",59.474,20.917,1,"20-1",10,0,11.41,20.08,0.039
"1650",58.312,21.051,1,"20-1",20,0,21.67,20.08,0.074
"1710",56.38,20.584,1,"20-1",30,0,31.7,20.08,0.108
"1770",53.555,20.953,1,"20-1",40,0,41.53,20.08,0.142
"1830",49.767,20.782,1,"20-1",50,0,51.23,20.07,0.174
"1890",45.189,21.587,1,"20-1",60,0,60.56,20.07,0.206
"1950",40.047,21.027,1,"20-1",70,0,69.26,20.08,0.236
"2010",35.319,21.027,1,"20-1",80,0,77.89,20.11,0.266
"2070",32.552,21.153,1,"20-1",90,0,86.58,20.13,0.296
"2130",32.099,20.952,1,"20-1",95,0,90.6,20.13,0.31
"4289",62.074,12.638,1,"12",0,0,1.56,11.89,0.003
"4349",61.838,12.659,1,"12",10,0,11.56,11.9,0.023
"4409",60.995,12.61,1,"12",20,0,21.66,11.9,0.044
"4469",59.579,12.768,1,"12",30,0,31.75,11.9,0.064
"4529",57.227,12.73,1,"12",40,0,41.65,11.92,0.084
"4589",53.884,12.873,1,"12",50,0,51.25,11.93,0.104
"4649",49.566,13.001,1,"12",60,0,60.48,11.93,0.122
"4709",44.377,12.729,1,"12",70,0,69.15,11.93,0.14
"4769",39.082,13.108,1,"12",80,0,77.54,11.94,0.157
"4829",35.031,12.855,1,"12",90,0,86.24,11.96,0.175
"4889",34.109,12.9,1,"12",95,0,90.41,11.97,0.184
"7048",63.806,5.013,1,"4",0,0,2.68,3.78,0.003
"7108",63.667,4.665,1,"4",10,0,11.59,3.79,0.013
"7168",63.087,4.802,1,"4",20,0,21.67,3.78,0.025
"7228",62.024,4.73,1,"4",30,0,31.68,3.77,0.037
"7288",60.162,4.614,1,"4",40,0,41.5,3.79,0.048
"7348",57.349,4.845,1,"4",50,0,51.12,3.81,0.06
"7408",53.408,4.74,1,"4",60,0,60.36,3.83,0.07
"7468",48.474,5.033,1,"4",70,0,68.79,3.86,0.08
"7528",42.932,4.729,1,"4",80,0,76.64,3.85,0.089
"7588",38.33,4.815,1,"4",90,0,84.91,3.86,0.099
"7648",36.868,4.39,1,"4",95,0,89.12,3.84,0.104
"9565",62.996,8.737,1,"8",0,0,2.13,7.77,0.003
"9625",62.779,8.231,1,"8",10,0,11.71,7.78,0.018
"9685",62.143,8.366,1,"8",20,0,21.76,7.77,0.033
"9745",60.807,8.448,1,"8",30,0,31.85,7.77,0.049
"9805",58.817,8.605,1,"8",40,0,41.59,7.78,0.064
"9865",55.728,8.628,1,"8",50,0,51.25,7.78,0.079
"9925",51.614,8.373,1,"8",60,0,60.55,7.81,0.093
"9985",46.567,8.47,1,"8",70,0,69.06,7.83,0.106
"10045",41.073,8.843,1,"8",80,0,77.18,7.86,0.119
"10105",36.69,8.448,1,"8",90,0,85.74,7.88,0.132
"10165",35.472,8.677,1,"8",95,0,89.84,7.89,0.139
"12320",61.046,16.928,1,"16",0,0,1.35,16.09,0.004
"12380",60.608,17.344,1,"16",10,0,11.64,16.12,0.031
"12440",59.701,17.181,1,"16",20,0,21.8,16.13,0.058
"12500",57.998,17.081,1,"16",30,0,31.85,16.14,0.085
"12560",55.393,17.46,1,"16",40,0,41.55,16.16,0.111
"12620",51.893,16.734,1,"16",50,0,51.27,16.16,0.137
"12680",47.434,17.463,1,"16",60,0,60.53,16.17,0.161
"12740",42.273,17.166,1,"16",70,0,69.19,16.19,0.185
"12800",37.119,17.59,1,"16",80,0,77.73,16.22,0.208
"12860",33.848,17.113,1,"16",90,0,86.42,16.25,0.232
"12920",33.157,17.714,1,"16",95,0,90.48,16.25,0.242
"14840",60.015,21.411,1,"20-2",0,0,1.07,20.21,0.004
"14900",59.457,20.918,1,"20-2",10,0,11.57,20.26,0.04
"14960",58.267,21.551,1,"20-2",20,0,21.79,20.25,0.075
"15020",56.356,21.213,1,"20-2",30,0,31.82,20.25,0.11
"15079",53.5,20.987,1,"20-2",40,0,41.59,20.25,0.143
"15139",49.734,21.398,1,"20-2",50,0,51.31,20.25,0.177
"15199",45.192,21.2,1,"20-2",60,0,60.57,20.26,0.209
"15259",40.025,21.6,1,"20-2",70,0,69.41,20.28,0.239
"15319",35.392,21.541,1,"20-2",80,0,77.92,20.3,0.269
"15379",32.684,21.594,1,"20-2",90,0,86.57,20.32,0.3
"15439",32.272,21.44,1,"20-2",95,0,90.76,20.34,0.314
"17599",57.939,29.37,1,"28",0,0,0.75,28.05,0.004
"17658",56.847,29.145,1,"28",10,0,11.64,28.07,0.064
"17718",55.146,29.215,1,"28",20,0,21.92,28.05,0.121
"17778",52.687,29.197,1,"28",30,0,31.98,28.05,0.176
"17838",49.395,29.282,1,"28",40,0,41.84,28.07,0.23
"17898",45.286,28.658,1,"28",50,0,51.49,28.08,0.284
"17958",40.701,29.175,1,"28",60,0,60.69,28.08,0.334
"18018",36.047,29.329,1,"28",70,0,69.35,28.09,0.382
"18078",32.376,29.2,1,"28",80,0,78.19,28.11,0.431
"18138",30.711,28.993,1,"28",90,0,86.72,28.14,0.48
"18198",30.52,29.012,1,"28",95,0,90.7,28.14,0.501
"20117",56.731,32.721,1,"32",0,0,0.66,31.83,0.005
"20177",55.354,33.221,1,"32",10,0,11.78,31.87,0.081
"20237",53.343,32.969,1,"32",20,0,22.14,31.87,0.152
"20297",50.471,32.997,1,"32",30,0,32.25,31.87,0.221
"20357",47.175,33.001,1,"32",40,0,41.91,31.91,0.288
"20417",43.002,32.975,1,"32",50,0,51.52,31.91,0.354
"20477",38.547,33.235,1,"32",60,0,60.72,31.91,0.417
"20537",34.368,33.057,1,"32",70,0,69.42,31.93,0.477
