"rh","12","16","20-1","20-2","20-3","24","28","32","4","8"
0,62.074,61.046,60.021,60.015,60.066,59.09,57.939,56.731,63.806,62.996
10,61.838,60.608,59.474,59.457,59.578,58.336,56.847,55.354,63.667,62.779
20,60.995,59.701,58.312,58.267,58.439,56.915,55.146,53.343,63.087,62.143
30,59.579,57.998,56.38,56.356,56.472,54.725,52.687,50.471,62.024,60.807
40,57.227,55.393,53.555,53.5,53.674,51.776,49.395,47.175,60.162,58.817
50,53.884,51.893,49.767,49.734,49.998,47.87,45.286,43.002,57.349,55.728
60,49.566,47.434,45.189,45.192,45.558,43.153,40.701,38.547,53.408,51.614
70,44.377,42.273,40.047,40.025,40.45,38.321,36.047,34.368,48.474,46.567
80,39.082,37.119,35.319,35.392,35.731,34.156,32.376,31.351,42.932,41.073
90,35.031,33.848,32.552,32.684,33.018,31.922,30.711,29.725,38.33,36.69
95,34.109,33.157,32.099,32.272,32.649,31.657,30.52,29.65,36.868,35.472
